,date,abfluss
219,2021-07-13 08:20:00,428.491
220,2021-07-13 08:25:00,431.176
221,2021-07-13 08:30:00,434.279
222,2021-07-13 08:35:00,437.387
223,2021-07-13 08:40:00,440.5
224,2021-07-13 08:45:00,444.45
225,2021-07-13 08:50:00,447.157
226,2021-07-13 08:55:00,450.703
227,2021-07-13 09:00:00,454.463
228,2021-07-13 09:05:00,458.231
229,2021-07-13 09:10:00,461.795
230,2021-07-13 09:15:00,465.155
231,2021-07-13 09:20:00,468.94
232,2021-07-13 09:25:00,472.521
233,2021-07-13 09:30:00,476.319
234,2021-07-13 09:35:00,479.488
235,2021-07-13 09:40:00,483.296
236,2021-07-13 09:45:00,486.898
237,2021-07-13 09:50:00,490.506
238,2021-07-13 09:55:00,493.905
239,2021-07-13 10:00:00,497.096
240,2021-07-13 10:05:00,500.503
241,2021-07-13 10:10:00,503.915
242,2021-07-13 10:15:00,506.904
243,2021-07-13 10:20:00,510.536
244,2021-07-13 10:25:00,514.174
245,2021-07-13 10:30:00,517.387
246,2021-07-13 10:35:00,520.388
247,2021-07-13 10:40:00,523.608
248,2021-07-13 10:45:00,526.83
249,2021-07-13 10:50:00,529.41
250,2021-07-13 10:55:00,532.638
251,2021-07-13 11:00:00,535.653
252,2021-07-13 11:05:00,538.455
253,2021-07-13 11:10:00,541.259
254,2021-07-13 11:15:00,544.497
255,2021-07-13 11:20:00,547.521
256,2021-07-13 11:25:00,550.765
257,2021-07-13 11:30:00,554.01
258,2021-07-13 11:35:00,557.042
259,2021-07-13 11:40:00,560.726
260,2021-07-13 11:45:00,564.196
261,2021-07-13 11:50:00,567.886
262,2021-07-13 11:55:00,571.361
263,2021-07-13 12:00:00,574.839
264,2021-07-13 12:05:00,578.971
265,2021-07-13 12:10:00,582.672
266,2021-07-13 12:15:00,586.375
267,2021-07-13 12:20:00,590.08
268,2021-07-13 12:25:00,593.569
269,2021-07-13 12:30:00,597.06
270,2021-07-13 12:35:00,600.99
271,2021-07-13 12:40:00,604.485
272,2021-07-13 12:45:00,608.418
273,2021-07-13 12:50:00,613.01
274,2021-07-13 12:55:00,616.729
275,2021-07-13 13:00:00,620.45
276,2021-07-13 13:05:00,624.391
277,2021-07-13 13:10:00,628.333
278,2021-07-13 13:15:00,632.497
279,2021-07-13 13:20:00,636.661
280,2021-07-13 13:25:00,640.388
281,2021-07-13 13:30:00,643.459
282,2021-07-13 13:35:00,646.749
283,2021-07-13 13:40:00,650.478
284,2021-07-13 13:45:00,653.77
285,2021-07-13 13:50:00,657.281
286,2021-07-13 13:55:00,660.135
287,2021-07-13 14:00:00,662.11
288,2021-07-13 14:05:00,665.403
289,2021-07-13 14:10:00,668.257
290,2021-07-13 14:15:00,670.233
291,2021-07-13 14:20:00,672.868
292,2021-07-13 14:25:00,674.844
293,2021-07-13 14:30:00,676.381
294,2021-07-13 14:35:00,678.357
295,2021-07-13 14:40:00,680.333
296,2021-07-13 14:45:00,681.87
297,2021-07-13 14:50:00,681.87
298,2021-07-13 14:55:00,682.968
299,2021-07-13 15:00:00,683.407
300,2021-07-13 15:05:00,683.846
301,2021-07-13 15:10:00,685.163
302,2021-07-13 15:15:00,685.602
303,2021-07-13 15:20:00,686.041
304,2021-07-13 15:25:00,687.139
305,2021-07-13 15:30:00,687.798
306,2021-07-13 15:35:00,688.237
307,2021-07-13 15:40:00,688.456
308,2021-07-13 15:45:00,688.896
309,2021-07-13 15:50:00,688.676
310,2021-07-13 15:55:00,688.676
311,2021-07-13 16:00:00,688.676
312,2021-07-13 16:05:00,688.017
313,2021-07-13 16:10:00,687.359
314,2021-07-13 16:15:00,686.481
315,2021-07-13 16:20:00,685.822
316,2021-07-13 16:25:00,684.944
317,2021-07-13 16:30:00,685.163
318,2021-07-13 16:35:00,683.407
319,2021-07-13 16:40:00,682.748
320,2021-07-13 16:45:00,681.87
321,2021-07-13 16:50:00,681.431
322,2021-07-13 16:55:00,679.455
323,2021-07-13 17:00:00,678.137
324,2021-07-13 17:05:00,676.381
325,2021-07-13 17:10:00,674.844
326,2021-07-13 17:15:00,673.965
327,2021-07-13 17:20:00,671.989
328,2021-07-13 17:25:00,670.672
329,2021-07-13 17:30:00,668.037
330,2021-07-13 17:35:00,666.062
331,2021-07-13 17:40:00,663.208
332,2021-07-13 17:45:00,660.793
333,2021-07-13 17:50:00,658.598
334,2021-07-13 17:55:00,656.623
335,2021-07-13 18:00:00,653.77
336,2021-07-13 18:05:00,652.014
337,2021-07-13 18:10:00,650.478
338,2021-07-13 18:15:00,648.284
339,2021-07-13 18:20:00,646.31
340,2021-07-13 18:25:00,644.117
341,2021-07-13 18:30:00,641.923
342,2021-07-13 18:35:00,639.95
343,2021-07-13 18:40:00,637.757
344,2021-07-13 18:45:00,635.565
345,2021-07-13 18:50:00,634.688
346,2021-07-13 18:55:00,633.812
347,2021-07-13 19:00:00,631.839
348,2021-07-13 19:05:00,630.744
349,2021-07-13 19:10:00,628.772
350,2021-07-13 19:15:00,628.114
351,2021-07-13 19:20:00,626.581
352,2021-07-13 19:25:00,625.924
353,2021-07-13 19:30:00,625.486
354,2021-07-13 19:35:00,625.486
355,2021-07-13 19:40:00,625.048
356,2021-07-13 19:45:00,625.267
357,2021-07-13 19:50:00,624.829
358,2021-07-13 19:55:00,623.953
359,2021-07-13 20:00:00,624.391
360,2021-07-13 20:05:00,624.829
361,2021-07-13 20:10:00,624.61
362,2021-07-13 20:15:00,625.048
363,2021-07-13 20:20:00,625.705
364,2021-07-13 20:25:00,625.924
365,2021-07-13 20:30:00,626.581
366,2021-07-13 20:35:00,627.895
367,2021-07-13 20:40:00,628.114
368,2021-07-13 20:45:00,628.991
369,2021-07-13 20:50:00,629.21
370,2021-07-13 20:55:00,630.086
371,2021-07-13 21:00:00,630.524
372,2021-07-13 21:05:00,631.839
373,2021-07-13 21:10:00,632.058
374,2021-07-13 21:15:00,632.277
375,2021-07-13 21:20:00,631.839
