Abfluss,gs1,gs2,gs3,gs4,gs5
772.6,720,940,1050,1150,2000
772.966,720,940,1050,1150,2000
773.333,720,940,1050,1150,2000
772.966,720,940,1050,1150,2000
773.333,720,940,1050,1150,2000
772.966,720,940,1050,1150,2000
773.333,720,940,1050,1150,2000
772.966,720,940,1050,1150,2000
773.7,720,940,1050,1150,2000
773.333,720,940,1050,1150,2000
773.333,720,940,1050,1150,2000
772.966,720,940,1050,1150,2000
772.6,720,940,1050,1150,2000
772.966,720,940,1050,1150,2000
772.6,720,940,1050,1150,2000
772.233,720,940,1050,1150,2000
771.866,720,940,1050,1150,2000
771.499,720,940,1050,1150,2000
771.499,720,940,1050,1150,2000
771.866,720,940,1050,1150,2000
771.132,720,940,1050,1150,2000
771.499,720,940,1050,1150,2000
770.032,720,940,1050,1150,2000
768.933,720,940,1050,1150,2000
769.299,720,940,1050,1150,2000
768.933,720,940,1050,1150,2000
768.933,720,940,1050,1150,2000
768.567,720,940,1050,1150,2000
768.567,720,940,1050,1150,2000
769.666,720,940,1050,1150,2000
770.032,720,940,1050,1150,2000
770.032,720,940,1050,1150,2000
769.666,720,940,1050,1150,2000
770.032,720,940,1050,1150,2000
770.398,720,940,1050,1150,2000
770.032,720,940,1050,1150,2000
770.765,720,940,1050,1150,2000
769.299,720,940,1050,1150,2000
769.299,720,940,1050,1150,2000
768.933,720,940,1050,1150,2000
768.567,720,940,1050,1150,2000
767.469,720,940,1050,1150,2000
766.371,720,940,1050,1150,2000
764.91,720,940,1050,1150,2000
763.814,720,940,1050,1150,2000
763.083,720,940,1050,1150,2000
761.989,720,940,1050,1150,2000
761.259,720,940,1050,1150,2000
761.259,720,940,1050,1150,2000
760.895,720,940,1050,1150,2000
760.53,720,940,1050,1150,2000
760.895,720,940,1050,1150,2000
761.259,720,940,1050,1150,2000
761.259,720,940,1050,1150,2000
761.259,720,940,1050,1150,2000
761.259,720,940,1050,1150,2000
760.895,720,940,1050,1150,2000
761.989,720,940,1050,1150,2000
761.259,720,940,1050,1150,2000
761.624,720,940,1050,1150,2000
761.259,720,940,1050,1150,2000
761.259,720,940,1050,1150,2000
761.989,720,940,1050,1150,2000
761.624,720,940,1050,1150,2000
762.718,720,940,1050,1150,2000
762.718,720,940,1050,1150,2000
762.353,720,940,1050,1150,2000
762.718,720,940,1050,1150,2000
763.448,720,940,1050,1150,2000
763.814,720,940,1050,1150,2000
764.544,720,940,1050,1150,2000
764.91,720,940,1050,1150,2000
765.64,720,940,1050,1150,2000
767.103,720,940,1050,1150,2000
767.835,720,940,1050,1150,2000
769.666,720,940,1050,1150,2000
771.499,720,940,1050,1150,2000
775.171,720,940,1050,1150,2000
777.376,720,940,1050,1150,2000
779.218,720,940,1050,1150,2000
781.799,720,940,1050,1150,2000
783.275,720,940,1050,1150,2000
784.752,720,940,1050,1150,2000
784.752,720,940,1050,1150,2000
786.601,720,940,1050,1150,2000
785.122,720,940,1050,1150,2000
786.231,720,940,1050,1150,2000
785.492,720,940,1050,1150,2000
785.492,720,940,1050,1150,2000
785.492,720,940,1050,1150,2000
785.492,720,940,1050,1150,2000
784.752,720,940,1050,1150,2000
784.383,720,940,1050,1150,2000
784.383,720,940,1050,1150,2000
784.013,720,940,1050,1150,2000
784.383,720,940,1050,1150,2000
784.013,720,940,1050,1150,2000
783.644,720,940,1050,1150,2000
783.644,720,940,1050,1150,2000
784.383,720,940,1050,1150,2000
785.862,720,940,1050,1150,2000
785.862,720,940,1050,1150,2000
786.601,720,940,1050,1150,2000
786.601,720,940,1050,1150,2000
786.971,720,940,1050,1150,2000
787.341,720,940,1050,1150,2000
786.601,720,940,1050,1150,2000
786.971,720,940,1050,1150,2000
787.341,720,940,1050,1150,2000
786.971,720,940,1050,1150,2000
786.601,720,940,1050,1150,2000
786.971,720,940,1050,1150,2000
786.601,720,940,1050,1150,2000
