Time,BAFU_2481_AbflussRadar
2021-07-15T03:15:00Z,73.727
2021-07-15T03:20:00Z,74.766
2021-07-15T03:25:00Z,74.558
2021-07-15T03:30:00Z,74.558
2021-07-15T03:35:00Z,75.287
2021-07-15T03:40:00Z,75.496
2021-07-15T03:45:00Z,77.591
2021-07-15T03:50:00Z,78.434
2021-07-15T03:55:00Z,80.976
2021-07-15T04:00:00Z,84.616
2021-07-15T04:05:00Z,88.626
2021-07-15T04:10:00Z,91.364
2021-07-15T04:15:00Z,91.584
2021-07-15T04:20:00Z,94.457
2021-07-15T04:25:00Z,94.457
2021-07-15T04:30:00Z,92.465
2021-07-15T04:35:00Z,91.914
2021-07-15T04:40:00Z,92.907
2021-07-15T04:45:00Z,91.034
2021-07-15T04:50:00Z,91.584
2021-07-15T04:55:00Z,90.485
2021-07-15T05:00:00Z,91.474
2021-07-15T05:05:00Z,88.735
2021-07-15T05:10:00Z,89.827
2021-07-15T05:15:00Z,88.735
2021-07-15T05:20:00Z,91.474
2021-07-15T05:25:00Z,90.046
2021-07-15T05:30:00Z,89.609
2021-07-15T05:35:00Z,88.517
2021-07-15T05:40:00Z,86.777
2021-07-15T05:45:00Z,86.127
2021-07-15T05:50:00Z,86.885
2021-07-15T05:55:00Z,87.32
2021-07-15T06:00:00Z,87.537
2021-07-15T06:05:00Z,88.081
2021-07-15T06:10:00Z,87.102
2021-07-15T06:15:00Z,83.97
2021-07-15T06:20:00Z,81.402
2021-07-15T06:25:00Z,79.596
2021-07-15T06:30:00Z,80.02
2021-07-15T06:35:00Z,81.615
2021-07-15T06:40:00Z,82.256
2021-07-15T06:45:00Z,80.976
2021-07-15T06:50:00Z,84.939
2021-07-15T06:55:00Z,80.976
2021-07-15T07:00:00Z,82.042
2021-07-15T07:05:00Z,82.042
2021-07-15T07:10:00Z,90.046
2021-07-15T07:15:00Z,82.791
2021-07-15T07:20:00Z,87.32
2021-07-15T07:25:00Z,86.452
2021-07-15T07:30:00Z,83.863
2021-07-15T07:35:00Z,88.081
2021-07-15T07:40:00Z,86.235
2021-07-15T07:45:00Z,81.189
2021-07-15T07:50:00Z,80.657
2021-07-15T07:55:00Z,83.755
2021-07-15T08:00:00Z,81.295
2021-07-15T08:05:00Z,84.723
2021-07-15T08:10:00Z,82.256
2021-07-15T08:15:00Z,84.185
2021-07-15T08:20:00Z,87.537
2021-07-15T08:25:00Z,78.75
2021-07-15T08:30:00Z,83.219
2021-07-15T08:35:00Z,81.615
2021-07-15T08:40:00Z,80.551
2021-07-15T08:45:00Z,87.428
2021-07-15T08:50:00Z,87.645
2021-07-15T08:55:00Z,86.019
2021-07-15T09:00:00Z,83.219
2021-07-15T09:05:00Z,83.219
2021-07-15T09:10:00Z,86.235
2021-07-15T09:15:00Z,76.437
2021-07-15T09:20:00Z,75.913
2021-07-15T09:25:00Z,82.256
2021-07-15T09:30:00Z,81.402
2021-07-15T09:35:00Z,79.49
2021-07-15T09:40:00Z,76.227
2021-07-15T09:45:00Z,79.702
2021-07-15T09:50:00Z,75.809
