Time,BAFU_2091_AbflussPneumatikunten
2021-07-19T15:00:00Z,2678.477
2021-07-19T15:05:00Z,2689.98
2021-07-19T15:10:00Z,2694.09
2021-07-19T15:15:00Z,2694.912
2021-07-19T15:20:00Z,2694.09
2021-07-19T15:25:00Z,2692.446
2021-07-19T15:30:00Z,2690.802
2021-07-19T15:35:00Z,2692.446
2021-07-19T15:40:00Z,2692.446
2021-07-19T15:45:00Z,2694.09
2021-07-19T15:50:00Z,2694.09
2021-07-19T15:55:00Z,2690.802
2021-07-19T16:00:00Z,2689.98
2021-07-19T16:05:00Z,2688.336
2021-07-19T16:10:00Z,2689.98
2021-07-19T16:15:00Z,2689.158
2021-07-19T16:20:00Z,2689.158
2021-07-19T16:25:00Z,2696.556
2021-07-19T16:30:00Z,2703.957
2021-07-19T16:35:00Z,2694.912
2021-07-19T16:40:00Z,2689.98
2021-07-19T16:45:00Z,2669.443
2021-07-19T16:50:00Z,2672.728
2021-07-19T16:55:00Z,2654.67
2021-07-19T17:00:00Z,2641.547
2021-07-19T17:05:00Z,2645.647
2021-07-19T17:10:00Z,2655.49
2021-07-19T17:15:00Z,2669.443
2021-07-19T17:20:00Z,2688.336
2021-07-19T17:25:00Z,2689.98
2021-07-19T17:30:00Z,2703.957
2021-07-19T17:35:00Z,2725.35
2021-07-19T17:40:00Z,2752.53
2021-07-19T17:45:00Z,2755.003
2021-07-19T17:50:00Z,2756.651
2021-07-19T17:55:00Z,2761.597
2021-07-19T18:00:00Z,2761.597
2021-07-19T18:05:00Z,2763.246
2021-07-19T18:10:00Z,2761.597
2021-07-19T18:15:00Z,2773.141
2021-07-19T18:20:00Z,2784.689
2021-07-19T18:25:00Z,2793.766
2021-07-19T18:30:00Z,2801.195
2021-07-19T18:35:00Z,2794.592
2021-07-19T18:40:00Z,2792.941
2021-07-19T18:45:00Z,2787.99
2021-07-19T18:50:00Z,2780.564
2021-07-19T18:55:00Z,2786.339
2021-07-19T19:00:00Z,2784.689
2021-07-19T19:05:00Z,2787.99
2021-07-19T19:10:00Z,2792.116
