Time,BAFU_2243_AbflussRadarBruecke
2021-07-27T22:30:00Z,250.197
2021-07-27T22:35:00Z,250.197
2021-07-27T22:40:00Z,251.51
2021-07-27T22:45:00Z,251.73
2021-07-27T22:50:00Z,250.197
2021-07-27T22:55:00Z,250.416
2021-07-27T23:00:00Z,248.45
2021-07-27T23:05:00Z,249.541
2021-07-27T23:10:00Z,249.104
2021-07-27T23:15:00Z,250.197
2021-07-27T23:20:00Z,249.978
2021-07-27T23:25:00Z,250.197
2021-07-27T23:30:00Z,249.104
2021-07-27T23:35:00Z,247.795
2021-07-27T23:40:00Z,249.104
2021-07-27T23:45:00Z,250.197
2021-07-27T23:50:00Z,250.635
2021-07-27T23:55:00Z,249.104
2021-07-28T00:00:00Z,247.795
2021-07-28T00:05:00Z,248.014
2021-07-28T00:10:00Z,249.322
2021-07-28T00:15:00Z,248.45
2021-07-28T00:20:00Z,248.668
2021-07-28T00:25:00Z,248.014
2021-07-28T00:30:00Z,247.359
2021-07-28T00:35:00Z,246.924
2021-07-28T00:40:00Z,245.62
2021-07-28T00:45:00Z,246.489
2021-07-28T00:50:00Z,246.272
2021-07-28T00:55:00Z,244.969
2021-07-28T01:00:00Z,247.795
2021-07-28T01:05:00Z,246.707
2021-07-28T01:10:00Z,243.886
2021-07-28T01:15:00Z,244.536
2021-07-28T01:20:00Z,243.886
2021-07-28T01:25:00Z,244.969
2021-07-28T01:30:00Z,244.752
2021-07-28T01:35:00Z,244.319
2021-07-28T01:40:00Z,245.186
2021-07-28T01:45:00Z,244.103
2021-07-28T01:50:00Z,244.969
2021-07-28T01:55:00Z,244.969
2021-07-28T02:00:00Z,244.752
2021-07-28T02:05:00Z,246.707
2021-07-28T02:10:00Z,244.103
2021-07-28T02:15:00Z,246.055
2021-07-28T02:20:00Z,244.752
2021-07-28T02:25:00Z,246.272
2021-07-28T02:30:00Z,244.536
2021-07-28T02:35:00Z,244.536
2021-07-28T02:40:00Z,244.103
2021-07-28T02:45:00Z,245.186
2021-07-28T02:50:00Z,245.838
2021-07-28T02:55:00Z,243.886
2021-07-28T03:00:00Z,244.103
2021-07-28T03:05:00Z,245.62
2021-07-28T03:10:00Z,245.403
2021-07-28T03:15:00Z,245.186
2021-07-28T03:20:00Z,245.403
2021-07-28T03:25:00Z,244.536
2021-07-28T03:30:00Z,245.62
2021-07-28T03:35:00Z,246.055
2021-07-28T03:40:00Z,246.489
2021-07-28T03:45:00Z,246.924
2021-07-28T03:50:00Z,245.403
2021-07-28T03:55:00Z,246.924
2021-07-28T04:00:00Z,244.969
2021-07-28T04:05:00Z,243.02
2021-07-28T04:10:00Z,244.969
2021-07-28T04:15:00Z,243.67
2021-07-28T04:20:00Z,245.186
2021-07-28T04:25:00Z,246.055
2021-07-28T04:30:00Z,244.752
2021-07-28T04:35:00Z,246.489
2021-07-28T04:40:00Z,245.838
2021-07-28T04:45:00Z,243.886
2021-07-28T04:50:00Z,244.752
2021-07-28T04:55:00Z,243.453
2021-07-28T05:00:00Z,243.02
2021-07-28T05:05:00Z,246.489
2021-07-28T05:10:00Z,249.76
2021-07-28T05:15:00Z,259.452
2021-07-28T05:20:00Z,265.919
2021-07-28T05:25:00Z,268.613
2021-07-28T05:30:00Z,266.143
2021-07-28T05:35:00Z,261.675
2021-07-28T05:40:00Z,262.789
2021-07-28T05:45:00Z,261.897
2021-07-28T05:50:00Z,257.015
2021-07-28T05:55:00Z,254.808
2021-07-28T06:00:00Z,249.322
2021-07-28T06:05:00Z,250.197
2021-07-28T06:10:00Z,249.978
2021-07-28T06:15:00Z,246.055
2021-07-28T06:20:00Z,244.319
2021-07-28T06:25:00Z,241.294
2021-07-28T06:30:00Z,242.588
2021-07-28T06:35:00Z,238.283
2021-07-28T06:40:00Z,236.356
2021-07-28T06:45:00Z,238.283
2021-07-28T06:50:00Z,236.998
2021-07-28T06:55:00Z,233.798
2021-07-28T07:00:00Z,232.735
2021-07-28T07:05:00Z,230.192
2021-07-28T07:10:00Z,228.926
2021-07-28T07:15:00Z,230.404
2021-07-28T07:20:00Z,228.715
2021-07-28T07:25:00Z,227.871
2021-07-28T07:30:00Z,229.137
2021-07-28T07:35:00Z,228.926
2021-07-28T07:40:00Z,228.715
2021-07-28T07:45:00Z,225.143
2021-07-28T07:50:00Z,224.306
2021-07-28T07:55:00Z,219.311
2021-07-28T08:00:00Z,217.864
2021-07-28T08:05:00Z,226.401
2021-07-28T08:10:00Z,229.98
2021-07-28T08:15:00Z,229.98
2021-07-28T08:20:00Z,230.192
2021-07-28T08:25:00Z,228.926
2021-07-28T08:30:00Z,228.926
2021-07-28T08:35:00Z,229.558
2021-07-28T08:40:00Z,231.886
2021-07-28T08:45:00Z,232.31
2021-07-28T08:50:00Z,230.192
2021-07-28T08:55:00Z,232.31
2021-07-28T09:00:00Z,233.16
2021-07-28T09:05:00Z,235.929
2021-07-28T09:10:00Z,237.855
2021-07-28T09:15:00Z,238.283
2021-07-28T09:20:00Z,243.237
2021-07-28T09:25:00Z,243.02
2021-07-28T09:30:00Z,243.02
2021-07-28T09:35:00Z,242.804
2021-07-28T09:40:00Z,244.969
2021-07-28T09:45:00Z,250.416
2021-07-28T09:50:00Z,248.014
2021-07-28T09:55:00Z,249.978
2021-07-28T10:00:00Z,251.51
2021-07-28T10:05:00Z,252.169
2021-07-28T10:10:00Z,252.828
2021-07-28T10:15:00Z,254.147
2021-07-28T10:20:00Z,254.147
2021-07-28T10:25:00Z,254.147
2021-07-28T10:30:00Z,253.047
2021-07-28T10:35:00Z,254.808
2021-07-28T10:40:00Z,253.706
2021-07-28T10:45:00Z,253.926
2021-07-28T10:50:00Z,258.786
2021-07-28T10:55:00Z,254.367
2021-07-28T11:00:00Z,255.248
2021-07-28T11:05:00Z,255.91
2021-07-28T11:10:00Z,251.73
2021-07-28T11:15:00Z,257.678
2021-07-28T11:20:00Z,255.028
2021-07-28T11:25:00Z,253.486
2021-07-28T11:30:00Z,251.949
2021-07-28T11:35:00Z,253.926
2021-07-28T11:40:00Z,252.388
2021-07-28T11:45:00Z,251.291
2021-07-28T11:50:00Z,252.169
2021-07-28T11:55:00Z,251.291
2021-07-28T12:00:00Z,252.388
2021-07-28T12:05:00Z,250.416
2021-07-28T12:10:00Z,250.854
2021-07-28T12:15:00Z,249.978
2021-07-28T12:20:00Z,252.388
2021-07-28T12:25:00Z,250.854
2021-07-28T12:30:00Z,249.322
2021-07-28T12:35:00Z,251.072
2021-07-28T12:40:00Z,250.197
2021-07-28T12:45:00Z,249.978
2021-07-28T12:50:00Z,249.978
2021-07-28T12:55:00Z,248.668
2021-07-28T13:00:00Z,249.978
2021-07-28T13:05:00Z,249.322
2021-07-28T13:10:00Z,248.668
2021-07-28T13:15:00Z,247.141
