Time,BAFU_2473_AbflussPneumatikFluss
2021-07-18T11:50:00Z,579.215
2021-07-18T11:55:00Z,576.192
2021-07-18T12:00:00Z,573.722
2021-07-18T12:05:00Z,570.16
2021-07-18T12:10:00Z,566.605
2021-07-18T12:15:00Z,563.331
2021-07-18T12:20:00Z,560.062
2021-07-18T12:25:00Z,555.985
2021-07-18T12:30:00Z,552.73
2021-07-18T12:35:00Z,549.752
2021-07-18T12:40:00Z,546.779
2021-07-18T12:45:00Z,544.35
2021-07-18T12:50:00Z,540.848
2021-07-18T12:55:00Z,537.622
2021-07-18T13:00:00Z,535.207
2021-07-18T13:05:00Z,532.259
2021-07-18T13:10:00Z,529.584
2021-07-18T13:15:00Z,526.379
2021-07-18T13:20:00Z,522.915
2021-07-18T13:25:00Z,520.521
2021-07-18T13:30:00Z,517.599
2021-07-18T13:35:00Z,515.213
2021-07-18T13:40:00Z,513.094
2021-07-18T13:45:00Z,511.243
2021-07-18T13:50:00Z,509.393
2021-07-18T13:55:00Z,507.283
2021-07-18T14:00:00Z,505.965
2021-07-18T14:05:00Z,504.385
2021-07-18T14:10:00Z,503.595
2021-07-18T14:15:00Z,502.017
2021-07-18T14:20:00Z,501.229
2021-07-18T14:25:00Z,499.916
2021-07-18T14:30:00Z,499.391
2021-07-18T14:35:00Z,498.342
2021-07-18T14:40:00Z,497.818
2021-07-18T14:45:00Z,497.555
2021-07-18T14:50:00Z,497.031
2021-07-18T14:55:00Z,495.984
2021-07-18T15:00:00Z,495.46
2021-07-18T15:05:00Z,495.46
2021-07-18T15:10:00Z,495.198
2021-07-18T15:15:00Z,494.936
2021-07-18T15:20:00Z,494.414
2021-07-18T15:25:00Z,494.152
2021-07-18T15:30:00Z,494.152
2021-07-18T15:35:00Z,493.368
2021-07-18T15:40:00Z,493.629
2021-07-18T15:45:00Z,492.845
2021-07-18T15:50:00Z,492.322
2021-07-18T15:55:00Z,491.539
2021-07-18T16:00:00Z,491.017
2021-07-18T16:05:00Z,490.495
2021-07-18T16:10:00Z,490.234
2021-07-18T16:15:00Z,488.93
2021-07-18T16:20:00Z,488.409
2021-07-18T16:25:00Z,488.149
2021-07-18T16:30:00Z,487.367
2021-07-18T16:35:00Z,486.586
2021-07-18T16:40:00Z,485.546
2021-07-18T16:45:00Z,484.765
2021-07-18T16:50:00Z,483.986
2021-07-18T16:55:00Z,482.947
2021-07-18T17:00:00Z,481.908
2021-07-18T17:05:00Z,480.871
2021-07-18T17:10:00Z,480.093
2021-07-18T17:15:00Z,479.057
2021-07-18T17:20:00Z,478.022
2021-07-18T17:25:00Z,476.986
2021-07-18T17:30:00Z,476.469
2021-07-18T17:35:00Z,475.694
2021-07-18T17:40:00Z,474.919
2021-07-18T17:45:00Z,474.919
2021-07-18T17:50:00Z,475.436
2021-07-18T17:55:00Z,476.211
2021-07-18T18:00:00Z,477.763
2021-07-18T18:05:00Z,480.353
2021-07-18T18:10:00Z,482.947
2021-07-18T18:15:00Z,486.586
2021-07-18T18:20:00Z,490.756
2021-07-18T18:25:00Z,495.46
2021-07-18T18:30:00Z,499.654
2021-07-18T18:35:00Z,503.858
2021-07-18T18:40:00Z,507.546
2021-07-18T18:45:00Z,510.714
2021-07-18T18:50:00Z,513.623
2021-07-18T18:55:00Z,515.742
2021-07-18T19:00:00Z,517.599
2021-07-18T19:05:00Z,518.395
2021-07-18T19:10:00Z,519.989
