Time,BAFU_2088_PegelRadar
2021-07-15T18:20:00Z,470.882
2021-07-15T18:30:00Z,470.885
2021-07-15T18:40:00Z,470.887
2021-07-15T18:50:00Z,470.89
2021-07-15T19:00:00Z,470.892
2021-07-15T19:10:00Z,470.894
2021-07-15T19:20:00Z,470.894
2021-07-15T19:30:00Z,470.895
2021-07-15T19:40:00Z,470.899
2021-07-15T19:50:00Z,470.906
2021-07-15T20:00:00Z,470.909
2021-07-15T20:10:00Z,470.912
2021-07-15T20:20:00Z,470.914
2021-07-15T20:30:00Z,470.917
2021-07-15T20:40:00Z,470.92
2021-07-15T20:50:00Z,470.921
2021-07-15T21:00:00Z,470.923
2021-07-15T21:10:00Z,470.926
2021-07-15T21:20:00Z,470.928
2021-07-15T21:30:00Z,470.93
2021-07-15T21:40:00Z,470.932
2021-07-15T21:50:00Z,470.934
2021-07-15T22:00:00Z,470.936
2021-07-15T22:10:00Z,470.939
2021-07-15T22:20:00Z,470.939
2021-07-15T22:30:00Z,470.941
2021-07-15T22:40:00Z,470.942
2021-07-15T22:50:00Z,470.944
2021-07-15T23:00:00Z,470.946
2021-07-15T23:10:00Z,470.947
2021-07-15T23:20:00Z,470.949
2021-07-15T23:30:00Z,470.95
2021-07-15T23:40:00Z,470.951
2021-07-15T23:50:00Z,470.952
2021-07-16T00:00:00Z,470.954
2021-07-16T00:10:00Z,470.955
2021-07-16T00:20:00Z,470.956
2021-07-16T00:30:00Z,470.957
2021-07-16T00:40:00Z,470.958
2021-07-16T00:50:00Z,470.96
2021-07-16T01:00:00Z,470.96
2021-07-16T01:10:00Z,470.961
2021-07-16T01:20:00Z,470.963
2021-07-16T01:30:00Z,470.964
2021-07-16T01:40:00Z,470.964
2021-07-16T01:50:00Z,470.964
2021-07-16T02:00:00Z,470.965
2021-07-16T02:10:00Z,470.966
2021-07-16T02:20:00Z,470.967
2021-07-16T02:30:00Z,470.967
2021-07-16T02:40:00Z,470.968
2021-07-16T02:50:00Z,470.969
2021-07-16T03:00:00Z,470.971
2021-07-16T03:10:00Z,470.972
2021-07-16T03:20:00Z,470.973
2021-07-16T03:30:00Z,470.974
2021-07-16T03:40:00Z,470.976
2021-07-16T03:50:00Z,470.978
2021-07-16T04:00:00Z,470.98
2021-07-16T04:10:00Z,470.984
2021-07-16T04:20:00Z,470.985
2021-07-16T04:30:00Z,470.987
2021-07-16T04:40:00Z,470.989
2021-07-16T04:50:00Z,470.991
2021-07-16T05:00:00Z,470.994
2021-07-16T05:10:00Z,470.997
2021-07-16T05:20:00Z,470.996
2021-07-16T05:30:00Z,470.998
