Bundesamt für Umwelt BAFU - Abteilung Hydrologie
Office fédéral de lenvironnement OFEV - Division Hydrologie

Abfluss- und Wasserstandsvorhersage
Prévision de débits et niveau d'eaux

Ausgegeben am / Emission:           15.7.2021, 11.06 h MEWZ / HHEC
Meteolauf von / Prévision météo de: 15.7.2021, 04.00 h UTC
Gemessene Werte bis / Valeurs mesurées jusqu'au: 15.7.2021, 08.00 MEWZ / HHEC
Übrige Zeitangaben in / Autres valeurs de temps en : MEWZ / HHEC

Stundenmittel des Wasserstandes [müM] und des Abflusses [m3/s]
Moyenne horaire du niveau d'eau [msm] et du débit [m3/s]

dd mm yyyy hh  H_e01   H_e02   H_e03   H_e04   H_e05   H_e06   H_e07   H_e08   H_e09   H_e10   Q_e01   Q_e02   Q_e03   Q_e04   Q_e05   Q_e06   Q_e07   Q_e08   Q_e09   Q_e10   H_min   H_p25   H_p50   H_p75   H_max   Q_min   Q_p25   Q_p50   Q_p75   Q_max
14 07 2021 22  335.60  335.60  335.60  335.60  335.60  335.60  335.60  335.60  335.60  335.60   850.2   850.2   850.2   850.2   850.2   850.2   850.2   850.2   850.2   850.2  335.60  335.60  335.60  335.60  335.60   850.2   850.2   850.2   850.2   850.2
14 07 2021 23  335.61  335.61  335.61  335.61  335.61  335.61  335.61  335.61  335.61  335.61   852.1   852.1   852.1   852.1   852.1   852.1   852.1   852.1   852.1   852.1  335.61  335.61  335.61  335.61  335.61   852.1   852.1   852.1   852.1   852.1
15 07 2021 00  335.64  335.64  335.64  335.64  335.64  335.64  335.64  335.64  335.64  335.64   860.0   860.0   860.0   860.0   860.0   860.0   860.0   860.0   860.0   860.0  335.64  335.64  335.64  335.64  335.64   860.0   860.0   860.0   860.0   860.0
15 07 2021 01  335.71  335.71  335.71  335.71  335.71  335.71  335.71  335.71  335.71  335.71   874.5   874.5   874.5   874.5   874.5   874.5   874.5   874.5   874.5   874.5  335.71  335.71  335.71  335.71  335.71   874.5   874.5   874.5   874.5   874.5
15 07 2021 02  335.75  335.75  335.75  335.75  335.75  335.75  335.75  335.75  335.75  335.75   883.9   883.9   883.9   883.9   883.9   883.9   883.9   883.9   883.9   883.9  335.75  335.75  335.75  335.75  335.75   883.9   883.9   883.9   883.9   883.9
15 07 2021 03  335.81  335.81  335.81  335.81  335.81  335.81  335.81  335.81  335.81  335.81   896.6   896.6   896.6   896.6   896.6   896.6   896.6   896.6   896.6   896.6  335.81  335.81  335.81  335.81  335.81   896.6   896.6   896.6   896.6   896.6
15 07 2021 04  335.93  335.93  335.93  335.93  335.93  335.93  335.93  335.93  335.93  335.93   923.0   923.0   923.0   923.0   923.0   923.0   923.0   923.0   923.0   923.0  335.93  335.93  335.93  335.93  335.93   923.0   923.0   923.0   923.0   923.0
15 07 2021 05  336.05  336.05  336.05  336.05  336.05  336.05  336.05  336.05  336.05  336.05   949.9   949.9   949.9   949.9   949.9   949.9   949.9   949.9   949.9   949.9  336.05  336.05  336.05  336.05  336.05   949.9   949.9   949.9   949.9   949.9
15 07 2021 06  336.21  336.21  336.21  336.21  336.21  336.21  336.21  336.21  336.21  336.21   988.1   988.1   988.1   988.1   988.1   988.1   988.1   988.1   988.1   988.1  336.21  336.21  336.21  336.21  336.21   988.1   988.1   988.1   988.1   988.1
15 07 2021 07  336.39  336.39  336.39  336.39  336.39  336.39  336.39  336.39  336.39  336.39  1028.8  1028.8  1028.8  1028.8  1028.8  1028.8  1028.8  1028.8  1028.8  1028.8  336.39  336.39  336.39  336.39  336.39  1028.8  1028.8  1028.8  1028.8  1028.8
15 07 2021 08  336.56  336.56  336.56  336.56  336.56  336.56  336.56  336.56  336.56  336.56  1067.9  1067.9  1067.9  1067.9  1067.9  1067.9  1067.9  1067.9  1067.9  1067.9  336.56  336.56  336.56  336.56  336.56  1067.9  1067.9  1067.9  1067.9  1067.9
15 07 2021 09  336.99  336.99  336.99  336.99  336.99  336.99  336.99  336.99  336.99  336.99  1169.2  1169.2  1169.2  1169.2  1169.2  1169.2  1169.2  1169.2  1169.2  1169.2  336.99  336.99  336.99  336.99  336.99  1169.2  1169.2  1169.2  1169.2  1169.2
